Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2328.75,3.17,7.39,2.49847843,2.866063606,0.001361245
2576.1,2.65,6.83,2.576542014,2.987716844,0.001028687
2447.88,2.43,5.96,2.613543864,3.00318385,0.000992696
3478.09,1.27,4.42,2.895918546,3.437537095,0.000365143
2434.79,2.87,7,2.541363469,2.928579613,0.001178746
3516.1,1.38,4.86,2.859424949,3.406182132,0.00039248
2902.5,1.9,5.52,2.720833151,3.184018627,0.000654608
2477.9,2.53,6.26,2.597509442,2.990963255,0.001021026
2916.55,2.16,6.29,2.666218781,3.130415675,0.000740601
2912.61,2.19,6.39,2.658781478,3.123838221,0.000751903
2852.51,2.5,7.14,2.601528964,3.057287167,0.000876421
2871.51,2.14,6.14,2.669941962,3.12769656,0.000745252
2836.51,2.17,6.17,2.662499155,3.116324585,0.000765025
2843.49,2.56,7.29,2.591124177,3.04561174,0.000900302
2899.61,2.02,5.87,2.693701488,3.156988219,0.000696645
2406.78,2.74,6.6,2.561892458,2.943685831,0.001138451
2344.71,2.82,6.6,2.5505452,2.919840027,0.001202707
2358.74,2.8,6.6,2.553136136,2.925522041,0.001187074
2976.65,2.17,6.46,2.663495255,3.137268039,0.000729007
2829.43,2.41,6.83,2.61727825,3.069681911,0.000851762
2544.95,2.77,7.05,2.557490137,2.963199485,0.00108843
2467.81,2.68,6.6,2.572767784,2.964176926,0.001085983
2509.97,2.79,7,2.554570491,2.954064327,0.001111567
2812.38,2.32,6.54,2.633496253,3.083586016,0.000824924
2544.97,1.96,5,2.706712663,3.113426596,0.000770147
2644.11,2,5.3,2.698003649,3.121249523,0.000756398
2649.09,1.89,5,2.724126709,3.146634909,0.000713453
2491.97,2.65,6.6,2.576998874,2.973296936,0.001063416
2373.75,3.13,7.43,2.504446164,2.87989064,0.001318589
2429.81,2.72,6.6,2.56602838,2.951003411,0.001119429
2372.78,2.78,6.6,2.555713538,2.931212677,0.001171621
2404.83,2.75,6.6,2.561540446,2.941751687,0.001143532
2434.85,2.71,6.6,2.566928276,2.953502921,0.001113005
2429.82,3.13,7.6,2.50476051,2.890029765,0.001288161
2486.87,3.03,7.52,2.519435243,2.914210455,0.001218399
2357.8,3.1,7.31,2.508589586,2.88114527,0.001314785
2357.75,3.16,7.46,2.499758926,2.872810671,0.001340261
2415.83,3.05,7.38,2.515010008,2.898766531,0.001262506
2359.72,3.14,7.42,2.502456568,2.875930825,0.001330666
2456.84,3.07,7.55,2.512429923,2.903238499,0.001249573
2429.81,3.05,7.42,2.51516841,2.901272476,0.001255242
2388.76,3.06,7.3,2.514849658,2.892451092,0.001280999
2495.88,2.82,7.04,2.549651042,2.946974593,0.001129862
2371.76,3.18,7.55,2.497123789,2.87264362,0.001340776
2449.82,3.15,7.72,2.501516876,2.890823622,0.001285809
2417.8,2.77,6.69,2.557994255,2.940940604,0.00114567
2300.7,3.12,7.19,2.505131102,2.867705398,0.001356109
2342.73,2.64,6.18,2.578733764,2.948118312,0.00112689
3031.7,2.44,7.41,2.611868016,3.094296397,0.000804829
2495.88,2.99,7.46,2.524484873,2.921552513,0.001197974
2487.85,2.98,7.42,2.525420287,2.921607928,0.001197821
2387.78,3.2,7.64,2.494900952,2.872844332,0.001340157
2328.75,3.26,7.6,2.486309276,2.853905268,0.001399893
2385.81,3.15,7.52,2.501418014,2.879325301,0.001320306
2429.82,3.12,7.58,2.505904897,2.891419508,0.001284046
2429.86,3.14,7.64,2.502487893,2.888651604,0.001292256
2387.77,3.16,7.54,2.500621146,2.878305409,0.001323411
2384.73,3.14,7.48,2.503537617,2.880509567,0.001316711
2464.86,2.83,6.98,2.547936834,2.940005822,0.001148138
2401.76,2.86,6.88,2.542941169,2.924163574,0.001190793
2455.85,2.69,6.6,2.570657902,2.960449557,0.001095344
2424.8,2.72,6.6,2.565131988,2.950107019,0.001121742
2472.84,2.67,6.6,2.573652082,2.966684756,0.00107973
2424.8,2.72,6.6,2.565131988,2.950107019,0.001121742
2403.73,2.75,6.6,2.561341748,2.94155299,0.001144055
2401.76,2.75,6.6,2.560985672,2.941196914,0.001144994
2507.88,2.63,6.6,2.579762816,2.979351004,0.001048695
2514.92,2.76,6.94,2.559164704,2.959615093,0.00109745
2442.9,2.17,5.3,2.66362982,3.051445956,0.000888289
2461.95,2.44,6,2.613127978,3.003889402,0.000991084
2402.7,2.75,6.6,2.561155613,2.941366855,0.001144546
2390.76,2.76,6.6,2.558992045,2.937626899,0.001154445
2405.77,2.74,6.6,2.561710169,2.943503542,0.001138928
2399.81,2.75,6.6,2.560632923,2.940844165,0.001145924
2372.76,3.05,7.24,2.515515246,2.890953973,0.001285423
2668.02,1.99,5.3,2.701913211,3.127336004,0.000745871
2886.51,1.73,5,2.761403062,3.222326963,0.00059934
2604,1.92,5,2.716670976,3.132339751,0.000737327
2589.97,2.05,5.3,2.689018864,3.101540873,0.000791515
2664.12,1.99,5.3,2.701277913,3.126700706,0.000746963
3487.05,1.54,5.38,2.811675899,3.354937454,0.000441634
3486.11,1.49,5.21,2.825503363,3.369154818,0.00042741
3592.19,1.59,5.72,2.797963271,3.353962175,0.000442627
3468.05,1.32,4.59,2.878272665,3.419511419,0.000380617
2868.48,2.55,7.33,2.592547852,3.051111646,0.000888973
2883.5,2.36,6.81,2.626772844,3.087007953,0.00081845
2874.47,2.34,6.72,2.631188507,3.089341923,0.000814063
2858.51,2.32,6.65,2.633318071,3.090651731,0.000811612
2461.9,2.31,5.69,2.636158142,3.027658428,0.0009383
2461.9,2.41,5.92,2.618948702,3.009253366,0.000978919
2461.9,2.41,5.92,2.618948702,3.009253366,0.000978919
2448.86,2.35,5.75,2.629296113,3.017896095,0.00095963
2477.95,2.24,5.56,2.649017747,3.043844521,0.000903973
2372.8,2.5,5.94,2.601474689,2.977321125,0.001053608
2823.38,3.11,8.79,2.506780459,2.958008945,0.001101517
2905.42,3.09,8.98,2.509932585,2.973250442,0.00106353
2891.43,3.11,9,2.506870173,2.968352294,0.001075592
2374.73,2.78,6.6,2.556070303,2.931569443,0.001170659
2562.94,3,7.7,2.522247714,2.931617184,0.001170531
2417.76,2.19,5.3,2.659137319,3.042969073,0.000905797
2395.8,2.76,6.6,2.559906625,2.938541479,0.001152016
2396.74,2.75,6.6,2.560076988,2.94028823,0.001147392
2451.8,2.86,7,2.544387001,2.933119008,0.00116649
2698.07,1.85,5,2.732083209,3.163881485,0.000685675
2675.13,1.87,5,2.728374887,3.155503285,0.000699031
2588.05,1.93,5,2.714002658,3.127415353,0.000745735
2490.95,2.55,6.35,2.593591285,2.98982483,0.001023706
2687.14,1.97,5.3,2.705014424,3.134824068,0.000733121
2567.97,1.95,5,2.710619941,3.119555334,0.000759355
2661.05,1.99,5.3,2.700777165,3.126199958,0.000747825
2678.15,1.98,5.3,2.703559028,3.131169707,0.000739316
2633.04,2.01,5.3,2.696181587,3.117261399,0.000763376
2644.11,2,5.3,2.698003649,3.121249523,0.000756398
2506.94,2.11,5.3,2.67486807,3.074861485,0.000841664
2609.02,1.92,5,2.717507404,3.13317618,0.000735909
2666.07,1.88,5,2.726901544,3.151713699,0.000705158
2558,2.07,5.3,2.683624671,3.091930195,0.000809226
2502.89,2,5,2.699471759,3.097411767,0.000799076
